-114.11,53.55,766.3,CAE0301A001,EDMONTON STONY PLAIN CS
-110.21,51.67,707.0,CAE0301B460,ESTHER 1
-111.1,52.83,686.3,CAE0301S001,WAINWRIGHT CFB AIRFIELD 21
-112.68,51.45,678.2,CAE030221LG,DRUMHELLER EAST
-113.76,52.45,860.0,CAE03023722,LACOMBE CDA 2
-113.89,52.18,904.6,CAE03025484,RED DEER REGIONAL A
-114.68,51.78,1114.4,CAE03026KNQ,SUNDRE A
-111.45,49.73,816.6,CAE03030768,BOW ISLAND
-111.85,50.56,747.0,CAE03030QLP,BROOKS
-114.01,51.12,1099.1,CAE03031092,CALGARY INTL A
-114.0,51.11,1081.9,CAE03031094,CALGARY INT'L CS
-114.37,51.11,1200.9,CAE03031109,CALGARY SPRINGBANK A
-113.29,49.2,1136.0,CAE03031322,CARDSTON
-113.38,49.0,1354.0,CAE03031402,CARWAY
-113.64,50.0,1009.0,CAE03031640,CLARESHOLM
-114.22,51.08,1235.0,CAE03031875,COP UPPER
-112.8,49.63,929.0,CAE03033875,LETHBRIDGE
-112.77,49.7,910.0,CAE03033890,LETHBRIDGE CDA
-110.72,50.02,716.9,CAE03034479,MEDICINE HAT
-110.72,50.03,715.0,CAE03034485,MEDICINE HAT RCS
-114.0,49.52,1189.6,CAE03035198,PINCHER CREEK
-114.0,49.52,1190.0,CAE03035208,PINCHER CREEK CLIMATE
-113.88,50.18,1363.6,CAE03036099,STAVELY AAFC
-112.05,49.13,1050.0,CAE03044533,MILK RIVER
-110.47,49.12,935.0,CAE03044923,ONEFOUR CDA
-115.55,51.19,1396.9,CAE03050519,BANFF CS
-114.18,49.47,1257.0,CAE03050602,BEAVER MINES
-115.07,51.08,1297.5,CAE03050778,BOW VALLEY
-114.48,49.63,1303.0,CAE03051R4R,CROWSNEST
-118.03,52.93,1020.0,CAE03053536,JASPER WARDEN
-116.04,52.49,1332.0,CAE03054843,NORDEGG CS
-114.42,50.37,1415.0,CAE03055119,PEKISKO
-113.81,49.13,1289.0,CAE03056214,WATERTON PARK GATE
